0	100	0	0	0
20	0	100	0	100
40	0	100	0	100
60	0	100	0	100
80	0	100	0	100
100	0	100	0	100
120	0	100	0	100
140	0	100	0	100
160	0	100	0	100
180	0	100	0	100
200	0	100	0	100
220	0	99	0	99
240	0	98	0	98
260	0	97	0	97
280	0	96	0	96
300	0	95	0	95
320	0	95	0	95
340	0	95	0	95
360	0	95	0	95
380	0	95	0	95
400	0	93	1	94
420	0	87	7	94
440	0	78	14	92
460	0	73	19	92
480	0	61	30	91
500	0	52	39	91
520	0	43	48	91
540	0	36	55	91
560	0	20	70	90
580	0	9	81	90
600	0	0	90	90
620	0	0	89	89
640	0	0	89	89
660	0	0	89	89
680	0	0	87	87
700	0	0	87	87
720	173	0	86	86
740	289	25	86	111
760	251	163	84	247
780	95	319	84	403
800	22	392	83	475
820	0	414	80	494
840	0	414	80	494
860	0	414	80	494
880	0	414	80	494
900	0	414	80	494
920	0	414	79	493
940	0	414	77	491
960	0	414	77	491
980	0	414	77	491
1000	0	410	7	417
1020	0	408	7	415
1040	0	406	7	413
1060	0	403	7	410
1080	0	400	7	407
1100	0	398	7	405
1120	0	398	6	404
1140	0	397	6	403
1160	0	390	10	400
1180	0	362	36	398
1200	0	327	68	395
1220	0	288	105	393
1240	0	242	147	389
1260	0	206	177	383
1280	0	164	218	382
1300	0	125	255	380
1320	0	80	300	380
1340	0	46	328	374
1360	0	22	348	370
1380	0	5	166	171
1400	0	0	171	171
1420	0	0	170	170
1440	185	0	164	164
1460	577	7	164	171
1480	850	227	163	390
1500	702	656	159	815
1520	260	1098	159	1257
1540	21	1337	159	1496
1560	0	1358	159	1517
1580	0	1358	158	1516
1600	0	1358	157	1515
1620	0	1358	156	1514
1640	0	1358	154	1512
1660	0	1358	152	1510
1680	0	1357	152	1509
1700	0	1355	152	1507
1720	0	1346	152	1498
1740	0	1341	78	1419
1760	0	1338	77	1415
1780	0	1327	77	1404
1800	53	1318	76	1394
1820	213	1314	75	1389
1840	332	1363	74	1437
1860	263	1510	74	1584
1880	93	1665	77	1742
1900	10	1693	120	1813
1920	0	1606	210	1816
1940	0	1486	325	1811
1960	0	1385	420	1805
1980	0	1253	545	1798
2000	0	1112	675	1787
2020	0	1002	768	1770
2040	0	874	886	1760
2060	0	734	1019	1753
2080	0	618	1126	1744
2100	0	516	1004	1520
2120	0	475	1035	1510
2140	0	461	1037	1498
2160	923	458	1032	1490
2180	19422	456	1026	1482
2200	33952	4286	1018	5304
2220	35162	19052	1013	20065
2240	17285	18983	1008	19991
2260	3452	18992	1012	20004
2280	0	18293	1032	19325
2300	0	17626	1059	18685
2320	0	17132	1102	18234
2340	0	16736	1139	17875
2360	0	16327	1164	17491
2380	0	15915	1193	17108
2400	0	15541	1222	16763
2420	0	15182	1252	16434
2440	0	14832	1291	16123
2460	0	14508	1313	15821
2480	0	14218	1235	15453
2500	0	13921	1226	15147
2520	0	13636	1215	14851
2540	26095	13374	1202	14576
2560	53956	16482	1188	17670
